epoch,loss,lr,val_loss
0,0.4998413324356079,0.001,0.4144396483898163
1,0.41513073444366455,0.001,0.397538959980011
2,0.3957003057003021,0.001,0.3863997757434845
3,0.385476678609848,0.001,0.38183286786079407
4,0.3791193962097168,0.001,0.376450777053833
5,0.37408512830734253,0.001,0.3771670460700989
6,0.3709915578365326,0.001,0.37231653928756714
7,0.3687730133533478,0.001,0.37732118368148804
8,0.36688268184661865,0.001,0.3764638304710388
9,0.36545640230178833,0.001,0.37662023305892944
10,0.36444294452667236,0.001,0.3786351680755615
11,0.3583386242389679,0.0005,0.37111663818359375
12,0.3571125566959381,0.0005,0.36825281381607056
13,0.35613811016082764,0.0005,0.37016600370407104
14,0.3558003902435303,0.0005,0.36877429485321045
15,0.3551942706108093,0.0005,0.36999082565307617
16,0.35453295707702637,0.0005,0.3676075339317322
17,0.3544667065143585,0.0005,0.3677164614200592
18,0.3538643419742584,0.0005,0.37473300099372864
19,0.3532722294330597,0.0005,0.36817222833633423
20,0.35367199778556824,0.0005,0.3717353045940399
21,0.3502494692802429,0.00025,0.3671015202999115
22,0.3498941659927368,0.00025,0.3672352433204651
23,0.3500233590602875,0.00025,0.3695491850376129
24,0.3497825264930725,0.00025,0.369084894657135
25,0.3492628037929535,0.00025,0.3689092695713043
26,0.34770438075065613,0.000125,0.37195196747779846
27,0.3474385440349579,0.000125,0.366608589887619
28,0.347365140914917,0.000125,0.3680940270423889
29,0.34689316153526306,0.000125,0.369629442691803
30,0.34662148356437683,0.000125,0.36517098546028137
31,0.3465743064880371,0.000125,0.3677070438861847
32,0.34669721126556396,0.000125,0.36782264709472656
33,0.34689998626708984,0.000125,0.3687937557697296
34,0.3466126024723053,0.000125,0.36593568325042725
35,0.34529659152030945,6.25e-05,0.3687603175640106
36,0.34551045298576355,6.25e-05,0.3687392771244049
37,0.34543782472610474,6.25e-05,0.3688574731349945
38,0.3452470600605011,6.25e-05,0.36833977699279785
39,0.344760924577713,3.125e-05,0.3687379062175751
40,0.344986230134964,3.125e-05,0.36850640177726746
