epoch,loss,lr,val_loss
0,0.4912264347076416,0.001,0.40989235043525696
1,0.4124683141708374,0.001,0.38617706298828125
2,0.3937959372997284,0.001,0.3777393102645874
3,0.3838041126728058,0.001,0.3737829327583313
4,0.3774011433124542,0.001,0.36788779497146606
5,0.37136563658714294,0.001,0.36568018794059753
6,0.36760202050209045,0.001,0.36096522212028503
7,0.36467376351356506,0.001,0.35745981335639954
8,0.3621269762516022,0.001,0.3567431569099426
9,0.3602292537689209,0.001,0.3580658733844757
10,0.35839152336120605,0.001,0.361526757478714
11,0.35692542791366577,0.001,0.35437047481536865
12,0.35605019330978394,0.001,0.3545134663581848
13,0.3549310564994812,0.001,0.3517700135707855
14,0.3545364439487457,0.001,0.3508092164993286
15,0.3534565567970276,0.001,0.3489548861980438
16,0.3528652489185333,0.001,0.35458290576934814
17,0.3525010943412781,0.001,0.35102909803390503
18,0.35182511806488037,0.001,0.35192278027534485
19,0.35088351368904114,0.001,0.35247161984443665
20,0.34867918491363525,0.0005,0.3491881489753723
21,0.3469351530075073,0.0005,0.3483767807483673
22,0.3472656309604645,0.0005,0.348512202501297
23,0.3474244475364685,0.0005,0.3487898111343384
24,0.34644758701324463,0.0005,0.35069218277931213
25,0.34597349166870117,0.0005,0.34823086857795715
26,0.3459763824939728,0.0005,0.35167062282562256
27,0.3458509147167206,0.0005,0.348392516374588
28,0.34575414657592773,0.0005,0.3469851613044739
29,0.34591200947761536,0.0005,0.3494108319282532
30,0.3454599976539612,0.0005,0.3477131128311157
31,0.3454657793045044,0.0005,0.3478245139122009
32,0.3449988067150116,0.0005,0.347320020198822
33,0.34426143765449524,0.00025,0.3485410213470459
34,0.3430897891521454,0.00025,0.3464861214160919
35,0.3430393934249878,0.00025,0.3493828773498535
36,0.3431239426136017,0.00025,0.3482494652271271
37,0.34318459033966064,0.00025,0.3480645418167114
38,0.3428385257720947,0.00025,0.34701094031333923
39,0.342352032661438,0.000125,0.3486737608909607
40,0.34224483370780945,0.000125,0.34829580783843994
41,0.3420155346393585,0.000125,0.3480819761753082
42,0.3422177731990814,0.000125,0.34698283672332764
43,0.3416229486465454,6.25e-05,0.3475206196308136
44,0.3419285714626312,6.25e-05,0.3484075963497162
