epoch,loss,lr,val_loss
0,0.40729236602783203,0.001,0.38199326395988464
1,0.31834688782691956,0.001,0.36150863766670227
2,0.2961750030517578,0.001,0.35563355684280396
3,0.2849750518798828,0.001,0.36598819494247437
4,0.2775387167930603,0.001,0.36023208498954773
5,0.2717677354812622,0.001,0.355629563331604
6,0.2681864798069,0.001,0.3538426458835602
7,0.26454395055770874,0.001,0.36484959721565247
8,0.2615649998188019,0.001,0.3496466279029846
9,0.2595619261264801,0.001,0.35998472571372986
10,0.25761428475379944,0.001,0.3641044795513153
11,0.2554938495159149,0.001,0.37354639172554016
12,0.2549542784690857,0.001,0.36107972264289856
13,0.24948452413082123,0.0005,0.3562447726726532
14,0.24886877834796906,0.0005,0.36334946751594543
15,0.24816042184829712,0.0005,0.36409318447113037
16,0.2476784586906433,0.0005,0.3589085340499878
17,0.24498337507247925,0.00025,0.35575947165489197
18,0.2446906715631485,0.00025,0.35672205686569214
