epoch,loss,lr,val_loss
0,0.48086684942245483,0.001,0.41470083594322205
1,0.3930604159832001,0.001,0.3803587555885315
2,0.370286226272583,0.001,0.3698901832103729
3,0.3587118089199066,0.001,0.368358850479126
4,0.35073286294937134,0.001,0.3671782910823822
5,0.34552833437919617,0.001,0.36027559638023376
6,0.340961217880249,0.001,0.35786372423171997
7,0.33785805106163025,0.001,0.35414913296699524
8,0.33502307534217834,0.001,0.35561057925224304
9,0.33331575989723206,0.001,0.3496377766132355
10,0.3309709131717682,0.001,0.3498236835002899
11,0.32962051033973694,0.001,0.34867605566978455
12,0.3278270363807678,0.001,0.3478235602378845
13,0.32699087262153625,0.001,0.34713178873062134
14,0.32565584778785706,0.001,0.3439261317253113
15,0.3242805004119873,0.001,0.3450264036655426
16,0.3238655626773834,0.001,0.3465415835380554
17,0.3226834833621979,0.001,0.34186112880706787
18,0.3221013844013214,0.001,0.34395861625671387
19,0.321567177772522,0.001,0.3430619537830353
20,0.32195332646369934,0.001,0.34497305750846863
21,0.32022467255592346,0.001,0.34224197268486023
22,0.3175133466720581,0.0005,0.33976393938064575
23,0.31668803095817566,0.0005,0.3392391800880432
24,0.3164588212966919,0.0005,0.339985728263855
25,0.31613853573799133,0.0005,0.3396399915218353
26,0.3156558573246002,0.0005,0.33962178230285645
27,0.3154846131801605,0.0005,0.33716776967048645
28,0.3158048987388611,0.0005,0.34058117866516113
29,0.3151801824569702,0.0005,0.3400963544845581
30,0.31502777338027954,0.0005,0.341858834028244
31,0.31524041295051575,0.0005,0.34055736660957336
32,0.31329935789108276,0.00025,0.3395914137363434
33,0.31276002526283264,0.00025,0.33856984972953796
34,0.3128403425216675,0.00025,0.33958157896995544
35,0.3127857446670532,0.00025,0.3389645516872406
36,0.3117114305496216,0.000125,0.3381280303001404
37,0.31171900033950806,0.000125,0.3377188444137573
