epoch,loss,lr,val_loss
0,0.43779250979423523,0.001,0.3906256854534149
1,0.34907102584838867,0.001,0.37736037373542786
2,0.3277595639228821,0.001,0.36896827816963196
3,0.31631505489349365,0.001,0.37311679124832153
4,0.30796197056770325,0.001,0.3664017617702484
5,0.3025374114513397,0.001,0.3695051670074463
6,0.297866553068161,0.001,0.37109360098838806
7,0.2943899631500244,0.001,0.37763160467147827
8,0.29160335659980774,0.001,0.3701448142528534
9,0.28613296151161194,0.0005,0.3698241412639618
10,0.2846035063266754,0.0005,0.37377622723579407
11,0.2834521234035492,0.0005,0.37123093008995056
12,0.28268709778785706,0.0005,0.3720530569553375
13,0.27966827154159546,0.00025,0.37218964099884033
14,0.2792282998561859,0.00025,0.37311655282974243
