epoch,loss,lr,val_loss
0,0.4770464599132538,0.001,0.3976317048072815
1,0.39923709630966187,0.001,0.3790871202945709
2,0.38048890233039856,0.001,0.37177541851997375
3,0.36975592374801636,0.001,0.3672572076320648
4,0.36238425970077515,0.001,0.3593481481075287
5,0.3561560809612274,0.001,0.36638009548187256
6,0.3521966338157654,0.001,0.35339340567588806
7,0.348794549703598,0.001,0.3503061532974243
8,0.3456159830093384,0.001,0.3534442186355591
9,0.3436358869075775,0.001,0.353920042514801
10,0.3406729996204376,0.001,0.35695305466651917
11,0.3395041823387146,0.001,0.34802114963531494
12,0.3381316065788269,0.001,0.34743690490722656
13,0.3363359868526459,0.001,0.3476872146129608
14,0.3356541693210602,0.001,0.353044331073761
15,0.3338387906551361,0.001,0.3486093282699585
16,0.33318382501602173,0.001,0.3504737615585327
17,0.3293226957321167,0.0005,0.3429345190525055
18,0.3281870186328888,0.0005,0.3485264778137207
19,0.32753685116767883,0.0005,0.3485482633113861
20,0.3275282084941864,0.0005,0.3481246829032898
21,0.32593610882759094,0.0005,0.3470422625541687
22,0.32475221157073975,0.00025,0.3440530300140381
23,0.32446572184562683,0.00025,0.3453010022640228
24,0.32415589690208435,0.00025,0.344453901052475
25,0.32352951169013977,0.00025,0.3463333547115326
26,0.3226068317890167,0.000125,0.3480967879295349
27,0.3226355314254761,0.000125,0.3456362783908844
